"","cat","word","n","date","institution","tf","idf","tf_idf"
"150","Learnings","tvet",36,2024-01-20,"IKEA Foundation ",0.000284220997615702,0.693147180559945,0.000197006983153259
"151","Learnings","detail",35,2024-01-20,"IKEA Foundation ",0.000276325969904154,0.693147180559945,0.000191534566954557
"152","Learnings","provision",35,2024-01-20,"IKEA Foundation ",0.000276325969904154,0.693147180559945,0.000191534566954557
"153","Learnings","slaughterhouse",35,2024-01-20,"IKEA Foundation ",0.000276325969904154,0.693147180559945,0.000191534566954557
"154","Learnings","mini",34,2024-01-20,"IKEA Foundation ",0.000268430942192607,0.693147180559945,0.000186062150755855
"155","Learnings","transaction",34,2024-01-20,"IKEA Foundation ",0.000268430942192607,0.693147180559945,0.000186062150755855
"156","Learnings","arrival",33,2024-01-20,"IKEA Foundation ",0.00026053591448106,0.693147180559945,0.000180589734557154
"157","Learnings","banking",33,2024-01-20,"IKEA Foundation ",0.00026053591448106,0.693147180559945,0.000180589734557154
"158","Learnings","faced",33,2024-01-20,"IKEA Foundation ",0.00026053591448106,0.693147180559945,0.000180589734557154
"159","Learnings","outputs",33,2024-01-20,"IKEA Foundation ",0.00026053591448106,0.693147180559945,0.000180589734557154
"160","Learnings","repayment",33,2024-01-20,"IKEA Foundation ",0.00026053591448106,0.693147180559945,0.000180589734557154
"161","Learnings","riparian",33,2024-01-20,"IKEA Foundation ",0.00026053591448106,0.693147180559945,0.000180589734557154
"162","Grants","agrivalue",10,2024-01-20,"IKEA Foundation ",0.000258765687669815,0.693147180559945,0.000179362706833988
"163","Grants","csf",10,2024-01-20,"IKEA Foundation ",0.000258765687669815,0.693147180559945,0.000179362706833988
"164","Grants","eci",10,2024-01-20,"IKEA Foundation ",0.000258765687669815,0.693147180559945,0.000179362706833988
"165","Grants","edp",10,2024-01-20,"IKEA Foundation ",0.000258765687669815,0.693147180559945,0.000179362706833988
"166","Grants","holders",10,2024-01-20,"IKEA Foundation ",0.000258765687669815,0.693147180559945,0.000179362706833988
"167","Grants","indian",10,2024-01-20,"IKEA Foundation ",0.000258765687669815,0.693147180559945,0.000179362706833988
"168","Grants","wbm",10,2024-01-20,"IKEA Foundation ",0.000258765687669815,0.693147180559945,0.000179362706833988
"169","Learnings","domestic",32,2024-01-20,"IKEA Foundation ",0.000252640886769513,0.693147180559945,0.000175117318358452
"170","Learnings","durable",32,2024-01-20,"IKEA Foundation ",0.000252640886769513,0.693147180559945,0.000175117318358452
"171","Learnings","mixed",32,2024-01-20,"IKEA Foundation ",0.000252640886769513,0.693147180559945,0.000175117318358452
"172","Learnings","nutrition",32,2024-01-20,"IKEA Foundation ",0.000252640886769513,0.693147180559945,0.000175117318358452
"173","Learnings","town",32,2024-01-20,"IKEA Foundation ",0.000252640886769513,0.693147180559945,0.000175117318358452
"174","Learnings","wood",32,2024-01-20,"IKEA Foundation ",0.000252640886769513,0.693147180559945,0.000175117318358452
"175","Learnings","wrua",32,2024-01-20,"IKEA Foundation ",0.000252640886769513,0.693147180559945,0.000175117318358452
"176","Learnings","zone",32,2024-01-20,"IKEA Foundation ",0.000252640886769513,0.693147180559945,0.000175117318358452
"177","Learnings","agm",31,2024-01-20,"IKEA Foundation ",0.000244745859057965,0.693147180559945,0.00016964490215975
"178","Learnings","canals",31,2024-01-20,"IKEA Foundation ",0.000244745859057965,0.693147180559945,0.00016964490215975
