,cat,word,n,date,institution,tf,idf,tf_idf
162,About,ndaily,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
163,About,ndemanding,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
164,About,nentertainment,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
165,About,nethnic,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
166,About,ngifts,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
167,About,nimmediately,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
168,About,ninterference,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
169,About,nlaw,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
170,About,nnationality,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
171,About,nparty,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
172,About,nprofessional,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
173,About,nproperty,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
174,About,nprotecting,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
175,About,nreimbursements,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
176,About,nreligious,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
177,About,nrewards,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
178,About,nright,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
179,About,nshall,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
180,About,nsound,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
181,About,nstipulates,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
182,About,nthinking,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
183,About,nunion,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
184,About,nvalues,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
185,About,nwhenever,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
186,About,nwhy,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
187,About,nworker,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
188,About,philosophy,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
189,About,prudently,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
190,About,racism,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
191,About,reimbursements,1,1/18/2024,IKEA Foundation ,0.000875657,1.098612289,0.000962007
